period_end_date,revenue,form,fp,fy,filed_date,calendar_frame,tag_used_revenue,net_income,tag_used_net_income,opex,tag_used_opex,ticker,cik
2024-04-30,159938000000.0,10-Q,Q1,2025.0,2024-06-07,,RevenueFromContractWithCustomerExcludingAssessedTax,5104000000.0,NetIncomeLoss,33236000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2024-07-31,167767000000.0,10-Q,Q2,2025.0,2024-08-30,,RevenueFromContractWithCustomerExcludingAssessedTax,4501000000.0,NetIncomeLoss,34585000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2024-10-31,168003000000.0,10-Q,Q3,2025.0,2024-12-06,,RevenueFromContractWithCustomerExcludingAssessedTax,4577000000.0,NetIncomeLoss,35540000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2025-01-31,178830000000.0,10-K,Q4,2025.0,2025-03-14,,RevenueFromContractWithCustomerExcludingAssessedTax,5254000000.0,NetIncomeLoss,36523000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2025-04-30,163981000000.0,10-Q,Q1,2026.0,2025-06-06,,RevenueFromContractWithCustomerExcludingAssessedTax,4487000000.0,NetIncomeLoss,34171000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2025-07-31,175750000000.0,10-Q,Q2,2026.0,2025-08-29,,RevenueFromContractWithCustomerExcludingAssessedTax,7026000000.0,NetIncomeLoss,37345000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2025-10-31,177769000000.0,10-Q,Q3,2026.0,2025-12-03,CY2025Q3,RevenueFromContractWithCustomerExcludingAssessedTax,6143000000.0,NetIncomeLoss,38094000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2026-01-31,188913000000.0,10-K,Q4,2026.0,2026-03-13,CY2025,RevenueFromContractWithCustomerExcludingAssessedTax,4237000000.0,NetIncomeLoss,38333000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2026-04-30,175684000000.0,10-Q,Q1,2027.0,2026-05-29,CY2026Q1,RevenueFromContractWithCustomerExcludingAssessedTax,5330000000.0,NetIncomeLoss,37200000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
2026-07-31,186100000000.0,10-Q,Q2,2027.0,2026-08-28,CY2026Q2,RevenueFromContractWithCustomerExcludingAssessedTax,6366000000.0,NetIncomeLoss,39750000000.0,SellingGeneralAndAdministrativeExpense,WMT,0000104169
